KODE;PROPINSI_ID;KABUPATEN_ATAU_KOTA;IBU_KOTA
TTN;1;Kabupaten Aceh Selatan;Tapak Tuan
KTN;1;Kabupaten Aceh Tenggara;Kutacane
LGS;1;Kabupaten Aceh Timur;Langsa             
TKN;1;Kabupaten Aceh Tengah;Takengon           
MBO;1;Kabupaten Aceh Barat;Meulaboh           
JTH;1;Kabupaten Aceh Besar;Jantho             
SGI;1;Kabupaten Pidie;Sigli              
LSK;1;Kabupaten Aceh Utara;Lhoksukon          
SNB;1;Kabupaten Simeulue;Sinabang           
SKL;1;Kabupaten Aceh Singkil;Singkil            
BIR;1;Kabupaten Bireuen;Bireuen            
BPD;1;Kabupaten Aceh Barat Daya;Blangpidie         
BKJ;1;Kabupaten Gayo Lues;Blangkejeren       
CAG;1;Kabupaten Aceh Jaya;Calang             
SKM;1;Kabupaten Nagan Raya;Suka Makmue         
KRB;1;Kabupaten Aceh Tamiang;Karang Baru         
STR;1;Kabupaten Bener Meriah;Simpang Tiga Redelong
MRN;1;Kabupaten Pidie Jaya;Meureundu          
BNA;1;Kota Banda Aceh;Banda Aceh          
SAB;1;Kota Sabang;Sabang             
LSM;1;Kota Lhokseumawe;Lhokseumawe        
LGS;1;Kota Langsa;Langsa             
SUS;1;Kota Subulussalam;Subulussalam
SBG;2;Kabupaten Tapanuli Tengah;Sibolga
TRT;2;Kabupaten Tapanuli Utara;Tarutung
PSP;2;Kabupaten Tapanuli Selatan;Padang Sidempuan
GST;2;Kabupaten Nias;Gunungsitoli
STB;2;Kabupaten Langkat;Stabat
KBJ;2;Kabupaten Karo;Kabanjahe
LBP;2;Kabupaten Deli Serdang;Lubuk Pakam
PMS;2;Kabupaten Simalungun;Pematang Siantar
KIS;2;Kabupaten Asahan;Kisaran
RAP;2;Kabupaten Labuhanbatu;Rantau Prapat
SDK;2;Kabupaten Dairi;Sidikalang
BLG;2;Kabupaten Toba Samosir;Balige
PYB;2;Kabupaten Mandailing Natal;Panyabungan
TLD;2;Kabupaten Nias Selatan;Teluk Dalam
SAL;2;Kabupaten Pakpak Bharat;Salak
DLS;2;Kabupaten Humbang Hasundutan;Dolok Sanggul
PRR;2;Kabupaten Samosir;Pangururan
SRH;2;Kabupaten Serdang Bedagai;Sei Rampah
LMP;2;Kabupaten Batu Bara;Lima Puluh
GNT;2;Kabupaten Padang Lawas Utara;Gunung Tua
SBH;2;Kabupaten Padang Lawas;Sibuhuan
KPI;2;Kabupaten Labuhanbatu Selatan;Kota Pinang
AKK;2;Kabupaten Labuhanbatu Utara;Aek Kanopan
